latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.69173,-73.864259,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.69173,-73.864259",JAMAICA AV/77 ST
40.692489,-73.858582,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.692489,-73.858582",JAMAICA AV/85 ST
40.692591,-73.856779,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.692591,-73.856779",JAMAICA AV/87 ST
40.692696,-73.855109,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.692696,-73.855109",JAMAICA AV/89 ST
40.692863,-73.854239,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.692863,-73.854239",JAMAICA AV/90 ST
40.69346,-73.852482,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.69346,-73.852482",JAMAICA AV/WOODHAVEN BL
40.694003,-73.850981,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.694003,-73.850981",JAMAICA AV/94 ST
40.694451,-73.849094,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.694451,-73.849094",JAMAICA AV/96 ST
40.694791,-73.847319,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.694791,-73.847319",JAMAICA AV/98 ST
40.695115,-73.844826,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.695115,-73.844826",JAMAICA AV/102 ST
40.695131,-73.842962,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.695131,-73.842962",JAMAICA AV/104 ST
40.695398,-73.839932,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.695398,-73.839932",JAMAICA AV/107 ST
40.695968,-73.838398,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.695968,-73.838398",JAMAICA AV/109 ST
40.69694,-73.83692,400.0,5,3,2,"https://www.google.com/maps/search/?api=1&query=40.69694,-73.83692",JAMAICA AV/111 ST
40.697937,-73.835291,400.0,5,3,2,"https://www.google.com/maps/search/?api=1&query=40.697937,-73.835291",JAMAICA AV/113 ST
40.698745,-73.833733,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.698745,-73.833733",JAMAICA AV/115 ST
