latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.712629,-73.733783,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.712629,-73.733783",HEMPSTEAD AV /220 ST
40.711912,-73.730982,400.0,5,5,0,"https://www.google.com/maps/search/?api=1&query=40.711912,-73.730982",HEMPSTEAD AV /223 ST
40.711421,-73.729162,400.0,5,5,0,"https://www.google.com/maps/search/?api=1&query=40.711421,-73.729162",HEMPSTEAD AV /225 ST
40.711706,-73.729036,400.0,5,5,0,"https://www.google.com/maps/search/?api=1&query=40.711706,-73.729036",HEMPSTEAD AV /225 ST
40.712088,-73.730452,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.712088,-73.730452",HEMPSTEAD AV /224 ST
40.712758,-73.733206,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.712758,-73.733206",HEMPSTEAD AV /221 ST
40.716152,-73.745515,400.0,5,5,0,"https://www.google.com/maps/search/?api=1&query=40.716152,-73.745515",JAMAICA AV /212 PL
40.705465,-73.803513,400.0,21,19,2,"https://www.google.com/maps/search/?api=1&query=40.705465,-73.803513",153 ST /89 AV
40.706587,-73.792264,400.0,34,34,0,"https://www.google.com/maps/search/?api=1&query=40.706587,-73.792264",JAMAICA AV /169 ST
40.706358,-73.79217,400.0,34,34,0,"https://www.google.com/maps/search/?api=1&query=40.706358,-73.79217",JAMAICA AV /168 ST
40.705485,-73.794605,400.0,37,37,0,"https://www.google.com/maps/search/?api=1&query=40.705485,-73.794605",JAMAICA AV /165 ST
40.702998,-73.802273,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.702998,-73.802273",153 ST /JAMAICA AV
40.703368,-73.80055,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.703368,-73.80055",JAMAICA AV /PARSONS BL
40.704409,-73.79715,400.0,40,40,0,"https://www.google.com/maps/search/?api=1&query=40.704409,-73.79715",JAMAICA AV /GUY R BREWER BL
40.704195,-73.798487,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.704195,-73.798487",JAMAICA AV /162 ST
40.713108,-73.735666,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.713108,-73.735666",HEMPSTEAD AV /SPRINGFIELD BL
40.706713,-73.802335,400.0,12,10,2,"https://www.google.com/maps/search/?api=1&query=40.706713,-73.802335",88 AV /PARSONS BL
40.705486,-73.795158,400.0,37,37,0,"https://www.google.com/maps/search/?api=1&query=40.705486,-73.795158",JAMAICA AV /165 ST
40.707647,-73.787396,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.707647,-73.787396",JAMAICA AV /172 ST
40.707821,-73.783573,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.707821,-73.783573",JAMAICA AV /177 ST
40.708129,-73.781472,400.0,8,4,0,"https://www.google.com/maps/search/?api=1&query=40.708129,-73.781472",JAMAICA AV /179 PL
40.708534,-73.779417,400.0,6,2,0,"https://www.google.com/maps/search/?api=1&query=40.708534,-73.779417",JAMAICA AV /181 ST
40.708715,-73.779985,400.0,6,2,0,"https://www.google.com/maps/search/?api=1&query=40.708715,-73.779985",JAMAICA AV /181 ST
40.708865,-73.776762,400.0,6,2,0,"https://www.google.com/maps/search/?api=1&query=40.708865,-73.776762",JAMAICA AV /183 ST
