latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.699516,-73.911851,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.699516,-73.911851",MYRTLE AV/PALMETTO AV
40.700465,-73.90999,400.0,9,7,2,"https://www.google.com/maps/search/?api=1&query=40.700465,-73.90999",PALMETTO ST/WYCKOFF AV
40.700854,-73.838999,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.700854,-73.838999",MYRTLE AV/85 AV
40.70271,-73.855884,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.70271,-73.855884",MYRTLE AV/WOODHAVEN BL
40.699865,-73.907949,400.0,9,7,2,"https://www.google.com/maps/search/?api=1&query=40.699865,-73.907949",MYRTLE AV/MADISON ST
40.70087,-73.892934,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.70087,-73.892934",MYRTLE AV/62 ST
40.70102,-73.891062,400.0,6,6,0,"https://www.google.com/maps/search/?api=1&query=40.70102,-73.891062",MYRTLE AV/CYPRESS HILLS ST
40.701863,-73.88111,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.701863,-73.88111",MYRTLE AV/70 ST
40.702362,-73.874956,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.702362,-73.874956",MYRTLE AV/73 PL
40.702546,-73.872648,400.0,5,5,0,"https://www.google.com/maps/search/?api=1&query=40.702546,-73.872648",MYRTLE AV/76 ST
40.702774,-73.869881,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.702774,-73.869881",MYRTLE AV/79 PL
40.702987,-73.867327,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.702987,-73.867327",MYRTLE AV/81 ST
40.703217,-73.861495,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.703217,-73.861495",MYRTLE AV/81 AV
40.70312,-73.865726,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.70312,-73.865726",MYRTLE AV/83 ST
40.703272,-73.863875,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.703272,-73.863875",MYRTLE AV/85 ST
40.702931,-73.858928,400.0,6,6,0,"https://www.google.com/maps/search/?api=1&query=40.702931,-73.858928",MYRTLE AV/88 ST
40.702745,-73.857193,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.702745,-73.857193",MYRTLE AV/88 LA
40.70257,-73.855571,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.70257,-73.855571",MYRTLE AV/WOODHAVEN BL N
40.702473,-73.854705,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.702473,-73.854705",MYRTLE AV/WOODHAVEN BL F
40.701998,-73.850375,400.0,5,5,0,"https://www.google.com/maps/search/?api=1&query=40.701998,-73.850375",MYRTLE AV/FREEDOM DR
40.701117,-73.842381,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.701117,-73.842381",MYRTLE AV/108 ST
40.700778,-73.839273,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.700778,-73.839273",MYRTLE AV/111 ST
