latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.712412,-73.938816,400.0,3,2,1,"https://www.google.com/maps/search/?api=1&query=40.712412,-73.938816",GRAND ST/OLIVE ST
40.711905,-73.941236,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.711905,-73.941236",GRAND ST/BUSHWICK AV
40.709501,-73.95729,400.0,13,10,3,"https://www.google.com/maps/search/?api=1&query=40.709501,-73.95729",MARCY AV/S 4 ST
40.708638,-73.958417,400.0,13,10,3,"https://www.google.com/maps/search/?api=1&query=40.708638,-73.958417",BROADWAY/MARCY AV
40.708916,-73.956082,400.0,13,10,3,"https://www.google.com/maps/search/?api=1&query=40.708916,-73.956082",RODNEY ST/S 5 ST
40.710246,-73.955254,400.0,12,9,3,"https://www.google.com/maps/search/?api=1&query=40.710246,-73.955254",RODNEY ST/S 3 ST
40.710775,-73.952412,400.0,6,5,1,"https://www.google.com/maps/search/?api=1&query=40.710775,-73.952412",BORINQUEN PL/S 1 ST
40.711655,-73.943117,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.711655,-73.943117",GRAND ST/GRAHAM AV
40.712415,-73.938437,400.0,3,2,1,"https://www.google.com/maps/search/?api=1&query=40.712415,-73.938437",GRAND ST/WATERBURY ST
40.713293,-73.934906,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.713293,-73.934906",GRAND ST/MORGAN AV
40.713899,-73.925825,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.713899,-73.925825",METROPOLITAN AV/GARDNER AV
40.714199,-73.92684,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.714199,-73.92684",METROPOLITAN AV/GARDNER AV
40.71343,-73.934716,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.71343,-73.934716",GRAND ST/MORGAN AV
40.711605,-73.944534,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.711605,-73.944534",GRAND ST/GRAHAM AV
40.711154,-73.949291,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.711154,-73.949291",GRAND ST/LORIMER ST
40.714024,-73.932089,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.714024,-73.932089",GRAND ST/METRO BRIDGE
40.714416,-73.929401,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.714416,-73.929401",METROPOLITAN AV/VARICK AV
40.711148,-73.948499,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.711148,-73.948499",GRAND ST/LORIMER ST
40.709434,-73.95931,400.0,13,10,3,"https://www.google.com/maps/search/?api=1&query=40.709434,-73.95931",WASHINGTON PLZ / WASHINGTON PLZ
40.710714,-73.95392,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.710714,-73.95392",BORINQUEN PL/S 1 ST
40.71405,-73.927647,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.71405,-73.927647",METROPOLITAN AV/STEWART AV
40.711017,-73.950982,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.711017,-73.950982",GRAND ST/UNION AV
40.71094,-73.950691,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.71094,-73.950691",GRAND ST/UNION AV
40.714014,-73.924056,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.714014,-73.924056",METROPOLITAN AV/ONDERDONK AV
40.712062,-73.940017,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.712062,-73.940017",GRAND ST/BUSHWICK AV
40.707549,-73.789882,400.0,14,14,0,"https://www.google.com/maps/search/?api=1&query=40.707549,-73.789882",170 ST/JAMAICA AV
40.702228,-73.804326,400.0,33,30,3,"https://www.google.com/maps/search/?api=1&query=40.702228,-73.804326",JAMAICA AV/150 ST
40.706762,-73.791452,400.0,34,34,0,"https://www.google.com/maps/search/?api=1&query=40.706762,-73.791452",JAMAICA AV/168 PL
40.70323,-73.800447,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.70323,-73.800447",JAMAICA AV/PARSONS BL
40.712937,-73.906296,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.712937,-73.906296",METROPOLITAN AV/FOREST AV
40.713126,-73.909323,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.713126,-73.909323",METROPOLITAN AV/ANDREWS AV
40.706408,-73.792308,400.0,34,34,0,"https://www.google.com/maps/search/?api=1&query=40.706408,-73.792308",JAMAICA AV/168 ST
40.702366,-73.81695,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.702366,-73.81695",JAMAICA AV/VAN WYCK EP
40.702373,-73.812541,400.0,14,11,3,"https://www.google.com/maps/search/?api=1&query=40.702373,-73.812541",JAMAICA AV/139 ST
40.702126,-73.820801,400.0,4,3,1,"https://www.google.com/maps/search/?api=1&query=40.702126,-73.820801",JAMAICA AV/132 ST
40.702222,-73.820361,400.0,4,3,1,"https://www.google.com/maps/search/?api=1&query=40.702222,-73.820361",132 ST/JAMAICA AV
40.705603,-73.79448,400.0,37,37,0,"https://www.google.com/maps/search/?api=1&query=40.705603,-73.79448",JAMAICA AV/165 ST
40.71335,-73.914305,400.0,3,3,0,"https://www.google.com/maps/search/?api=1&query=40.71335,-73.914305",METROPOLITAN AV/STARR ST
40.701795,-73.807803,400.0,33,19,3,"https://www.google.com/maps/search/?api=1&query=40.701795,-73.807803",JAMAICA AV/SUTPHIN BL
40.712277,-73.891242,400.0,4,3,1,"https://www.google.com/maps/search/?api=1&query=40.712277,-73.891242",METROPOLITAN AV/TOYS R US
40.701715,-73.807033,400.0,40,26,3,"https://www.google.com/maps/search/?api=1&query=40.701715,-73.807033",JAMAICA AV/147 PL
40.702449,-73.81507,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.702449,-73.81507",JAMAICA AV/138 ST
40.713571,-73.916123,400.0,3,3,0,"https://www.google.com/maps/search/?api=1&query=40.713571,-73.916123",METROPOLITAN AV/FLUSHING AV
40.708462,-73.838588,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.708462,-73.838588",METROPOLITAN AV/FOREST PARK DR
40.703254,-73.800661,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.703254,-73.800661",JAMAICA AV/PARSONS BL
40.704502,-73.797125,400.0,40,40,0,"https://www.google.com/maps/search/?api=1&query=40.704502,-73.797125",JAMAICA AV/GUY R BREWER BL
40.704244,-73.798183,400.0,31,28,3,"https://www.google.com/maps/search/?api=1&query=40.704244,-73.798183",JAMAICA AV/162 ST
