latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.712412,-73.938816,400.0,3,2,1,"https://www.google.com/maps/search/?api=1&query=40.712412,-73.938816",Grand St
40.711905,-73.941236,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.711905,-73.941236",GRAHAM AV/GRAND ST
40.714091,-73.952005,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.714091,-73.952005",Metropolitan Av
40.709362,-73.960501,400.0,13,10,3,"https://www.google.com/maps/search/?api=1&query=40.709362,-73.960501",Marcy Av
40.714667,-73.961579,400.0,3,3,0,"https://www.google.com/maps/search/?api=1&query=40.714667,-73.961579",BEDFORD AV/GRAND ST
40.710842,-73.968417,400.0,3,2,0,"https://www.google.com/maps/search/?api=1&query=40.710842,-73.968417",South Williamsburg
40.710487,-73.966188,400.0,4,3,0,"https://www.google.com/maps/search/?api=1&query=40.710487,-73.966188",South Williamsburg
40.711655,-73.943117,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.711655,-73.943117",GRAHAM AV/GRAND ST
40.712415,-73.938437,400.0,3,2,1,"https://www.google.com/maps/search/?api=1&query=40.712415,-73.938437",Grand St
40.713293,-73.934906,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.713293,-73.934906",GRAND ST/MORGAN AV
40.71343,-73.934716,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.71343,-73.934716",GRAND ST/MORGAN AV
40.711605,-73.944534,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.711605,-73.944534",GRAHAM AV/GRAND ST
40.711154,-73.949291,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.711154,-73.949291",MESEROLE ST/LORIMER ST
40.71436,-73.961133,400.0,3,3,0,"https://www.google.com/maps/search/?api=1&query=40.71436,-73.961133",BEDFORD AV/GRAND ST
40.714024,-73.932089,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.714024,-73.932089",GRAND ST/METRO BRIDGE
40.715457,-73.926882,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.715457,-73.926882",METROPOLITAN AV/GARDNER AV
40.713456,-73.958674,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.713456,-73.958674",DRIGGS AV/GRAND ST
40.710389,-73.964353,400.0,3,3,0,"https://www.google.com/maps/search/?api=1&query=40.710389,-73.964353",BEDFORD AV/BROADWAY
40.715315,-73.926805,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.715315,-73.926805",METROPOLITAN AV/GARDNER AV
40.710192,-73.963556,400.0,10,10,0,"https://www.google.com/maps/search/?api=1&query=40.710192,-73.963556",BEDFORD AV/BROADWAY
40.714171,-73.931836,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.714171,-73.931836",GRAND ST/METRO BRIDGE
40.711148,-73.948499,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.711148,-73.948499",GRAHAM AV/GRAND ST
40.716201,-73.923685,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.716201,-73.923685",METROPOLITAN AV/ONDERDONK AV
40.716046,-73.92461,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.716046,-73.92461",METROPOLITAN AV/ONDERDONK AV
40.711017,-73.950982,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.711017,-73.950982",S 4 ST/HEWES ST
40.71094,-73.950691,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.71094,-73.950691",S 4 ST/HEWES ST
40.71216,-73.967883,400.0,3,3,0,"https://www.google.com/maps/search/?api=1&query=40.71216,-73.967883",BEDFORD AV/BROADWAY
40.714192,-73.966936,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.714192,-73.966936",KENT AV/S 3 ST
40.715795,-73.966214,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.715795,-73.966214",KENT AV/S 1 ST
40.715736,-73.964691,400.0,3,3,0,"https://www.google.com/maps/search/?api=1&query=40.715736,-73.964691",BEDFORD AV/GRAND ST
40.713355,-73.958225,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.713355,-73.958225",DRIGGS AV/GRAND ST
40.714125,-73.954958,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.714125,-73.954958",DRIGGS AV/N 6 ST
